Bil.,Review,Sentiment,Category
1,"The Smart Tutor Program exceeded my expectations. The students were cooperative, well-behaved, and eager to learn. It was incredibly fulfilling to see their progress and to gain valuable teaching experience. Truly a rewarding experience!",Excellent (5/5),"Experience Gained, Student cooperation and behavior throughout the teaching, Expectation fulfillment"
2,"An amazing experience! The students were respectful, engaged, and eager to improve. The program was well-organized, and I gained invaluable teaching experience. Highly recommend this program to anyone looking to make a positive impact.",Excellent (5/5),"Experience Gained, Student cooperation and behavior throughout the teaching, Expectation fulfillment"
3,"Volunteering here was incredibly rewarding. The students were cooperative and enthusiastic, making teaching enjoyable. The program exceeded my expectations, and I gained valuable experience. Proud to have been part of this initiative!",Excellent (5/5),"Experience Gained, Student cooperation and behavior throughout the teaching, Expectation fulfillment"
4,"A fantastic experience! The students were attentive, well-behaved, and eager to learn. The program was excellently organized, exceeding my expectations and providing invaluable teaching experience. Highly recommend it!",Excellent (5/5),"Experience Gained, Student cooperation and behavior throughout the teaching, Expectation fulfillment"
5,"The Smart Tutor Program was highly fulfilling. The students were respectful and cooperative, making teaching a joy. The program exceeded my expectations and offered invaluable teaching experience. An amazing initiative!",Excellent (5/5),"Experience Gained, Student cooperation and behavior throughout the teaching, Expectation fulfillment"
6,"The program at Dato Kamaruddin Mosque had adequate facilities and equipment, though participant attendance fluctuated. The food was satisfactory, and participants enjoyed it. The allowance for volunteers should be increased to better compensate for their efforts.",Neutral (3/5),"Food, Venue, Allowance for the work"
7,"The mosque venue was well-equipped, ensuring effective sessions despite fluctuating attendance. The food quality was satisfactory. A higher allowance for volunteers is necessary to compensate for their time and effort appropriately.",Neutral (3/5),"Food, Venue, Allowance for the work"
8,"The venue and equipment at the mosque were sufficient, but the inconsistency in attendance was a challenge. The meals provided were adequate. It would be beneficial to increase the volunteer allowance to reflect their contributions accurately.",Neutral (3/5),"Food, Venue, Allowance for the work"
9,"The venue at Dato Kamaruddin Mosque was equipped adequately, but the inconsistent attendance affected the program's impact. While the food was satisfactory, a higher allowance for volunteers would better acknowledge their dedication.",Neutral (3/5),"Food, Venue, Allowance for the work"
10,"The mosque provided a suitable environment and necessary equipment, but attendance rates were inconsistent. The food offered was acceptable. An increase in the allowance for volunteers would be a fair recognition of their hard work.",Neutral (3/5),"Food, Venue, Allowance for the work"
11,"Dato Kamaruddin Mosque had the appropriate setup for the sessions, although attendance varied. The food provided was satisfactory. The volunteer allowance should be reconsidered to better match the effort involved.",Neutral (3/5),"Food, Venue, Allowance for the work"
12,"The program's venue provided all necessary equipment, ensuring smooth sessions. However, attendance fluctuated significantly. The provided meals were adequate, but increasing the volunteers' allowance would more accurately reflect their contributions.",Neutral (3/5),"Food, Venue, Allowance for the work"
13,"The venue at Dato Kamaruddin Mosque was sufficient, and the equipment provided met our needs. However, participant attendance was inconsistent. The food was adequate, but the volunteer allowance should be increased to reflect their commitment.",Neutral (3/5),"Food, Venue, Allowance for the work"
14,"The mosque provided a suitable environment and necessary equipment, but attendance rates were inconsistent. The food offered was acceptable. An increase in the allowance for volunteers would be a fair recognition of their hard work.",Neutral (3/5),"Food, Venue, Allowance for the work"
15,"The equipment and venue at the mosque were adequate for the sessions, but the irregular attendance was problematic. The meals provided were fine. However, the allowance for volunteers should be reconsidered to better reflect their efforts.",Neutral (3/5),"Food, Venue, Allowance for the work"
